5 3 A #3 = 0, #5 = 5
7 1 CBABAAABBAAABABAAACA #3 = 12, #5 = 4
7 1 CBABAAABBAAABCA #3 = 10, #5 = 4
7 1 CBABAAABBAAABCAAAAAAB #3 = 12, #5 = 4
7 1 CBABAAABBAAABCAAAAABA #3 = 12, #5 = 4
7 1 CBABAAABBAAABCAAAAACB #3 = 12, #5 = 6
7 1 CBABAAABBAAACA #3 = 8, #5 = 4
7 1 CBABAAABBAAACAAAAAAAB #3 = 10, #5 = 4
7 1 CBABAAABBAAACAAAAAAB #3 = 12, #5 = 4
7 1 CBABAAABBAAACAAAAAACA #3 = 8, #5 = 6
7 1 CBABAAABBAAACAAAAABA #3 = 10, #5 = 4
7 1 CBABAAABBAAACAAAAACAB #3 = 10, #5 = 6
7 1 CBABAAABBAAACBA #3 = 10, #5 = 4
7 1 CBABAAABBAAACBAAAACA #3 = 10, #5 = 6
7 3 CBABAAABBAABA #3 = 10, #5 = 2
7 1 CBABAAABBAABAAAAAABA #3 = 12, #5 = 2
7 1 CBABAAABBAABAAAAAACA #3 = 10, #5 = 4
7 1 CBABAAABBAABAAAAAACAB #3 = 12, #5 = 4
7 1 CBABAAABBAABAAAAABA #3 = 12, #5 = 2
7 1 CBABAAABBAABAAAAABCA #3 = 12, #5 = 4
7 1 CBABAAABBAABAAAAACA #3 = 10, #5 = 4
7 1 CBABAAABBAABAAAAACBA #3 = 12, #5 = 4
7 3 CBABAAABBAABABA #3 = 12, #5 = 2
7 1 CBABAAABBAABABAAABA #3 = 14, #5 = 2
7 1 CBABAAABBAABABAAABABA #3 = 16, #5 = 2
7 1 CBABAAABBAABABAAACA #3 = 12, #5 = 4
7 1 CBABAAABBAABABAAACBA #3 = 14, #5 = 4
7 5 CBABABAAAAAAAABA #3 = 8, #5 = 2
7 5 CBABABAAAAAAAABAAAAB #3 = 12, #5 = 2
7 2 CBABABAABA #3 = 8, #5 = 2
7 3 CBABABAABAAAAAAAAAAAB #3 = 10, #5 = 2
7 3 CBABABAABAAAAABA #3 = 10, #5 = 2
7 2 CBABABAABAAAAABAAAAAB #3 = 12, #5 = 2
7 2 CBABABAABAAAAABAAAABA #3 = 12, #5 = 2
7 3 CBABABAABAAAAABAAAAB #3 = 14, #5 = 2
7 1 CBABABAABAAAABA #3 = 10, #5 = 2
7 2 CBABABAABAAAABAAAAABA #3 = 12, #5 = 2
7 1 CBABABAABAAAABAAAAAB #3 = 14, #5 = 2
7 1 CBABABAABAAABABA #3 = 12, #5 = 2
7 2 CBABABAABAAABABAAAABA #3 = 14, #5 = 2
7 1 CBABABAABAAABABAAAAB #3 = 16, #5 = 2
7 1 CBABABAABAAABABAAABA #3 = 14, #5 = 2
7 1 CBABABAABAAABABAABAB #3 = 18, #5 = 2
7 1 CBABABAABBAAAAAAAAAAB #3 = 12, #5 = 2
7 1 CBABABAABBAAAABA #3 = 12, #5 = 2
7 1 CBABABAABBAAAABAAAAB #3 = 16, #5 = 2
7 1 CBABABAABBAABABAAAAAB #3 = 16, #5 = 2
7 1 CBABABAABBAABABAAAABA #3 = 16, #5 = 2
7 1 CBABABAABBAABABAAABBA #3 = 18, #5 = 2
7 1 CBABABAABBAABABAABAB #3 = 20, #5 = 2
7 2 CBABABAACA #3 = 6, #5 = 4
